text,intent,category,priority
Set a reminder for the auto-debit of Slack on tonight,Reminder,Finance,Medium
Remind me to ask David for Literature study guides,Reminder,Study,Low
ASAP: Concept definition: photosynthesis is defined as supply and demand curves,Note,Study,High
Model name for keyboard I want to buy: Version 10,Note,Shopping,Low
Remind me to sign up for the Computer Science workshop by July 5th,Reminder,Study,High
Remind me to cancel the Slack subscription before next week,Reminder,Finance,High
Read pages 2 to 1 of the Economics textbook,Todo,Study,Medium
Read pages 10 to 2 of the Calculus textbook this Friday at 3pm,Todo,Study,Medium
Don't forget the therapy appointment with Olivia at 9:00 AM,Reminder,Health,High
Model name for external hard drive I want to buy: Version 1,Note,Shopping,Low
Remind me of the engineering project status meeting at 5:00 PM,Reminder,Work,Medium
Expense breakdown: spent $250 on groceries and $100 on utilities,Note,Finance,Medium
Remind me to buy a birthday card for James on Friday,Reminder,Shopping,Medium
Remember to call Sophia about the client contract on tomorrow,Reminder,Work,Medium
Set a reminder for the design sync with Isabella on tomorrow,Reminder,Work,Medium
Set a reminder for the auto-debit of Dropbox on this weekend,Reminder,Finance,Medium
Buy pasta and cereal from the local supermarket,Task,Shopping,Low
Remind me to cancel the Zoom subscription before this weekend,Reminder,Finance,High
Don't forget the group study session for History at 4:15 PM on this weekend,Reminder,Study,Medium
Gift ideas for John: book about cell division or a warm scarf,Note,Shopping,Low
Set a reminder to order refills of Aspirin by tonight,Reminder,Health,High
Savings plan: save $10 by the end of July,Note,Finance,Medium
Medical insurance policy number: 50503 this Friday at 3pm,Note,Health,Medium
Notes from today's lecture on data structures: save for reference in future projects,Note,Study,Low
Model name for smartwatch I want to buy: Version 4,Note,Shopping,Low
Medical insurance policy number: 2203,Note,Health,Medium
Subscription cost tracker: Zoom costs $500 per month,Note,Finance,Low
Read pages 10 to 12 of the Calculus textbook,Todo,Study,Medium
Study Chemistry for 5 hours today,Todo,Study,Medium
Gift ideas for Emily: book about neural networks or a warm scarf,Note,Shopping,Low
Medical insurance policy number: 20101 tomorrow morning,Note,Health,Medium
Don't forget the therapy appointment with Liam at 8:00 PM,Reminder,Health,High
Don't forget the therapy appointment with Emma at 8:00 PM (low priority though),Reminder,Health,Low
Research photosynthesis for the upcoming Chemistry project,Todo,Study,Medium
Summary of discussion with Liam about genetics,Note,Work,Low
Don't forget the tutorial session on photosynthesis at 9:00 AM,Reminder,Study,Medium
"ASAP: Shopping wishlist: phone, phone, and a new bag",Note,Shopping,High
Buy pasta and pasta from the local supermarket,Task,Shopping,Low
Gift ideas for Emma: book about thermodynamics or a warm scarf by next week,Note,Shopping,Low
Read pages 20 to 4 of the Calculus textbook,Todo,Study,Medium
Gift ideas for Isabella: book about genetics or a warm scarf tonight at 8 PM,Note,Shopping,Low
Schedule a quick alignment call with Daniel about genetics,Todo,Work,Medium
Remind me to return the Economics library book by in 3 days,Reminder,Study,Medium
"Shopping wishlist: monitor, phone, and a new bag",Note,Shopping,Low
Project details: Titan aims to rebuild the ui service,Note,Work,Low
Remember to call Emma about the client contract on June 30th,Reminder,Work,Medium
Don't forget the therapy appointment with Alex at 4:15 PM,Reminder,Health,High
Remind me to return the Computer Science library book by next week,Reminder,Study,Medium
Solve the practice problems in chapter 3 of Calculus,Task,Study,Medium
Remember to call Alex about the client contract on Friday,Reminder,Work,Medium
Medical insurance policy number: 5011 next Monday at noon,Note,Health,Medium
Model name for external hard drive I want to buy: Version 12,Note,Shopping,Low
Set a reminder for the design sync with Jessica on tonight,Reminder,Work,Medium
Medical insurance policy number: 11010,Note,Health,Medium
Expense breakdown: spent $1000 on groceries and $100 on utilities by next week,Note,Finance,Medium
Useful study resource for Computer Science: https://github.com/trending,Note,Study,Low
Remind me to sign up for the Chemistry workshop by next week,Reminder,Study,High
Buy bananas and cheese from the local supermarket,Task,Shopping,Low
Research compiler design for the upcoming Art History project this Friday at 3pm,Todo,Study,Medium
Medical insurance policy number: 101012,Note,Health,Medium
Model name for laptop I want to buy: Version 12,Note,Shopping,Low
Gift ideas for Sophia: book about linear algebra or a warm scarf,Note,Shopping,Low
Concept definition: industrial revolution is defined as post-modern aesthetics,Note,Study,Low
Model name for keyboard I want to buy: Version 5,Note,Shopping,Low
Gift ideas for Michael: book about linear algebra or a warm scarf,Note,Shopping,Low
Buy cheese and cheese from the local supermarket this Friday at 3pm,Task,Shopping,Low
Solve the practice problems in chapter 50 of Math this Friday at 3pm,Task,Study,Medium
Schedule a quick alignment call with Emma about linear algebra,Todo,Work,Medium
Read pages 1 to 20 of the Art History textbook,Todo,Study,Medium
Don't forget the group study session for Literature at 9:00 AM on July 5th,Reminder,Study,Medium
Buy avocado and apples from the local supermarket,Task,Shopping,Low
Don't forget the therapy appointment with James at noon,Reminder,Health,High
Concept definition: industrial revolution is defined as supply and demand curves tomorrow morning,Note,Study,Low
Remember to prepare for the Computer Science exam on at 9 PM,Reminder,Study,High
Set a reminder for the auto-debit of Netflix on June 30th,Reminder,Finance,Medium
Remind me to cancel the Adobe Creative Cloud subscription before July 5th,Reminder,Finance,High
Remember to prepare for the Computer Science exam on this weekend,Reminder,Study,High
Remind me to return the Physics library book by next Monday,Reminder,Study,Medium
Read pages 3 to 50 of the Art History textbook this Friday at 3pm,Todo,Study,Medium
Schedule a quick alignment call with Chris about data structures tomorrow morning,Todo,Work,Medium
Summarize the lecture notes on data structures for Literature,Todo,Study,Medium
Remember to call Olivia about the client contract on tomorrow,Reminder,Work,Medium
ASAP: Remind me to check stock prices for NFLX at 5:00 PM,Reminder,Finance,High
Remind me to cancel the Dropbox subscription before this weekend,Reminder,Finance,High
Set a reminder for performance review with David on next week,Reminder,Work,High
Concept definition: data structures is defined as total GDP output,Note,Study,Low
Remind me to return the Art History library book by tomorrow,Reminder,Study,Medium
Buy bread and cereal from the local supermarket,Task,Shopping,Low
Set a reminder for the design sync with Isabella on Friday,Reminder,Work,Medium
Remind me to return the History library book by tomorrow,Reminder,Study,Medium
Read pages 1 to 1 of the Art History textbook by next week,Todo,Study,Medium
Remind me to cancel the GitHub subscription before June 30th,Reminder,Finance,High
Don't forget the tutorial session on modernism at noon,Reminder,Study,Medium
Formula list for History includes industrial revolution equations,Note,Study,Low
Schedule a quick alignment call with David about quantum physics,Todo,Work,Medium
Set a reminder to order refills of Lisinopril by next week,Reminder,Health,High
Medical insurance policy number: 2210,Note,Health,Medium
Read pages 10 to 4 of the Computer Science textbook,Todo,Study,Medium
Read pages 1 to 50 of the Economics textbook,Todo,Study,Medium
Read pages 50 to 5 of the Math textbook,Todo,Study,Medium
Don't forget the group study session for Economics at 8:00 PM on at 9 PM tomorrow morning,Reminder,Study,Medium
Medical insurance policy number: 443,Note,Health,Medium
Project details: Helix aims to rebuild the database service,Note,Work,Low
Schedule a quick alignment call with Sarah about compiler design,Todo,Work,Medium
Remind me to sign up for the Computer Science workshop by June 30th,Reminder,Study,High
Set a reminder for performance review with Daniel on Friday,Reminder,Work,High
ASAP: Useful study resource for Math: http://wikipedia.org/wiki/Chemistry,Note,Study,High
Set a reminder to order refills of Lisinopril by June 30th,Reminder,Health,High
Remind me to cancel the Adobe Creative Cloud subscription before Friday,Reminder,Finance,High
Expense breakdown: spent $50 on groceries and $100 on utilities by next week,Note,Finance,Medium
Remind me to sign up for the Chemistry workshop by next Monday,Reminder,Study,High
"Shopping wishlist: mouse, speaker, and a new bag",Note,Shopping,Low
Read pages 5 to 1 of the Biology textbook,Todo,Study,Medium
Don't forget the group study session for Literature at 2:30 PM on at 9 PM,Reminder,Study,Medium
Remind me to buy a birthday card for Michael on at 9 PM,Reminder,Shopping,Medium
Remind me to buy a birthday card for Jessica on in 3 days,Reminder,Shopping,Medium
Medical insurance policy number: 105020,Note,Health,Medium
Solve the practice problems in chapter 5 of Math,Task,Study,Medium
Don't forget the tutorial session on photosynthesis at 8:00 PM,Reminder,Study,Medium
Don't forget the group study session for History at 4:15 PM on Friday,Reminder,Study,Medium
Research modernism for the upcoming Computer Science project,Todo,Study,Medium
Subscription cost tracker: Spotify costs $500 per month,Note,Finance,Low
Research linear algebra for the upcoming Art History project next Monday at noon,Todo,Study,Medium
Remind me of the QA project status meeting at 5:00 PM,Reminder,Work,Medium
Set a reminder for the design sync with John on at 9 PM,Reminder,Work,Medium
Model name for headphones I want to buy: Version 10,Note,Shopping,Low
Don't forget the therapy appointment with James at 5:00 PM,Reminder,Health,High
Concept definition: thermodynamics is defined as light absorption in plants,Note,Study,Low
Formula list for Economics includes cell division equations,Note,Study,Low
Don't forget the group study session for Art History at 9:00 AM on tomorrow,Reminder,Study,Medium
Concept definition: compiler design is defined as memory allocation structures,Note,Study,Low
Bucket list ideas: visit Boston and learn to play the ukulele tomorrow morning,Note,Personal,Low
Remind me to ask Michael for Chemistry study guides,Reminder,Study,Low
Buy bread and pasta from the local supermarket this Friday at 3pm,Task,Shopping,Low
Remember to prepare for the Chemistry exam on tonight,Reminder,Study,High
Concept definition: ancient civilization is defined as light absorption in plants,Note,Study,Low
Medical insurance policy number: 3550,Note,Health,Medium
Set a reminder for the design sync with Emily on tomorrow,Reminder,Work,Medium
Medical insurance policy number: 441,Note,Health,Medium
Buy apples and chicken from the local supermarket,Task,Shopping,Low
Remind me to sign up for the Chemistry workshop by July 5th,Reminder,Study,High
Solve the practice problems in chapter 4 of Calculus,Task,Study,Medium
Set a reminder to order refills of Ibuprofen by July 5th,Reminder,Health,High
Don't forget the therapy appointment with Emma at 9:00 AM,Reminder,Health,High
Buy orange juice and pasta from the local supermarket,Task,Shopping,Low
Summary of discussion with Daniel about ancient civilization,Note,Work,Low
Remind me to buy a birthday card for Chris on June 30th,Reminder,Shopping,Medium
Subscription cost tracker: Slack costs $50 per month by next week,Note,Finance,Low
Remind me of the operations project status meeting at 5:00 PM,Reminder,Work,Medium
Summary of discussion with Sarah about neural networks,Note,Work,Low
Remember to prepare for the Calculus exam on at 9 PM,Reminder,Study,High
Set a reminder for the design sync with Olivia on at 9 PM next Monday at noon,Reminder,Work,Medium
Read pages 4 to 10 of the Calculus textbook,Todo,Study,Medium
Summary of discussion with Michael about data structures,Note,Work,Low
Medical insurance policy number: 201012 tomorrow morning,Note,Health,Medium
Remind me to buy a birthday card for James on tonight,Reminder,Shopping,Medium
Project details: Nebula aims to rebuild the notification service,Note,Work,Low
Don't forget the therapy appointment with Jessica at 5:00 PM,Reminder,Health,High
Remind me to sign up for the Computer Science workshop by tomorrow,Reminder,Study,High
Remind me to buy a birthday card for Daniel on next Monday,Reminder,Shopping,Medium
Remember to prepare for the Computer Science exam on June 30th,Reminder,Study,High
Formula list for Literature includes neural networks equations,Note,Study,Low
Remind me to buy a birthday card for David on Friday,Reminder,Shopping,Medium
Medical insurance policy number: 5510,Note,Health,Medium
Don't forget the therapy appointment with Alex at 5:00 PM,Reminder,Health,High
Don't forget the tutorial session on photosynthesis at midnight by next week,Reminder,Study,Medium
Don't forget the group study session for Economics at 8:00 PM on Friday,Reminder,Study,Medium
Gift ideas for Alex: book about ancient civilization or a warm scarf,Note,Shopping,Low
Don't forget the tutorial session on industrial revolution at 4:15 PM,Reminder,Study,Medium
Set a reminder for the design sync with Sarah on tonight,Reminder,Work,Medium
Set a reminder for performance review with Sarah on this weekend,Reminder,Work,High
Remind me to sign up for the Math workshop by in 3 days,Reminder,Study,High
ASAP: Summary of discussion with Olivia about compiler design,Note,Work,High
Set a reminder for performance review with Isabella on in 3 days,Reminder,Work,High
Set a reminder for the auto-debit of Dropbox on next week,Reminder,Finance,Medium
Set a reminder for performance review with Chris on in 3 days,Reminder,Work,High
Solve the practice problems in chapter 50 of Chemistry,Task,Study,Medium
Read pages 4 to 20 of the Math textbook this Friday at 3pm,Todo,Study,Medium
Summary of discussion with Chris about neural networks,Note,Work,Low
Summarize the lecture notes on cell division for Chemistry tonight at 8 PM,Todo,Study,Medium
Useful study resource for Economics: http://wikipedia.org/wiki/Art History,Note,Study,Low
Read pages 50 to 50 of the Chemistry textbook,Todo,Study,Medium
Research neural networks for the upcoming History project,Todo,Study,Medium
Medical insurance policy number: 1212,Note,Health,Medium
Summarize the lecture notes on neural networks for Biology,Todo,Study,Medium
Study Calculus for 50 hours today by next week,Todo,Study,Medium
Remind me to return the Art History library book by July 5th,Reminder,Study,Medium
Read pages 2 to 3 of the Physics textbook,Todo,Study,Medium
Set a reminder to order refills of Amoxicillin by this weekend,Reminder,Health,High
Read pages 5 to 50 of the Economics textbook,Todo,Study,Medium
Read pages 1 to 20 of the Physics textbook,Todo,Study,Medium
Remember to prepare for the Calculus exam on Friday,Reminder,Study,High
Remember to call David about the client contract on tonight,Reminder,Work,Medium
Set a reminder for the design sync with John on tonight,Reminder,Work,Medium
Buy tomatoes and yogurt from the local supermarket,Task,Shopping,Low
Project details: Orion aims to rebuild the analytics service,Note,Work,Low
Remind me to buy a birthday card for Alex on next week,Reminder,Shopping,Medium
Useful study resource for Computer Science: http://wikipedia.org/wiki/Physics,Note,Study,Low
Don't forget the group study session for Calculus at 8:00 PM on Friday,Reminder,Study,Medium
Set a reminder for the design sync with Jessica on Friday,Reminder,Work,Medium
Set a reminder for the auto-debit of Netflix on in 3 days tomorrow morning,Reminder,Finance,Medium
Concept definition: data structures is defined as gradient descent,Note,Study,Low
Model name for charger I want to buy: Version 12,Note,Shopping,Low
Formula list for Biology includes quantum physics equations,Note,Study,Low
Summary of discussion with Emma about ancient civilization,Note,Work,Low
Remind me to buy a birthday card for Jessica on June 30th,Reminder,Shopping,Medium
Summary of discussion with Sophia about photosynthesis next Monday at noon,Note,Work,Low
Remind me to cancel the Zoom subscription before at 9 PM,Reminder,Finance,High
Remind me to buy a birthday card for David on next Monday,Reminder,Shopping,Medium
Medical insurance policy number: 121050,Note,Health,Medium
Schedule a quick alignment call with Alex about compiler design,Todo,Work,Medium
Medical insurance policy number: 20201,Note,Health,Medium
Set a reminder for the design sync with John on in 3 days,Reminder,Work,Medium
Remind me to ask Daniel for Computer Science study guides,Reminder,Study,Low
Don't forget the tutorial session on quantum physics at 10:30 AM,Reminder,Study,Medium
Don't forget the group study session for Computer Science at 2:30 PM on Friday,Reminder,Study,Medium
Savings plan: save $1200 by the end of March,Note,Finance,Medium
Don't forget the therapy appointment with John at 10:30 AM,Reminder,Health,High
"Shopping wishlist: speaker, phone, and a new bag",Note,Shopping,Low
Remind me to check stock prices for GOOGL at midnight,Reminder,Finance,Low
Don't forget the group study session for Calculus at 2:30 PM on in 3 days,Reminder,Study,Medium
Don't forget the therapy appointment with Emily at noon,Reminder,Health,High
"Shopping wishlist: monitor, monitor, and a new bag",Note,Shopping,Low
Schedule a quick alignment call with Liam about neural networks,Todo,Work,Medium
Remind me to return the Literature library book by Friday,Reminder,Study,Medium
Model name for smartwatch I want to buy: Version 12,Note,Shopping,Low
Medical insurance policy number: 421,Note,Health,Medium
Set a reminder to order refills of Eye drops by next Monday,Reminder,Health,High
Remember to call Michael about the client contract on tonight,Reminder,Work,Medium
Schedule a quick alignment call with James about thermodynamics,Todo,Work,Medium
Remember to prepare for the Economics exam on this weekend,Reminder,Study,High
Concept definition: linear algebra is defined as light absorption in plants,Note,Study,Low
Don't forget the group study session for Chemistry at 10:30 AM on June 30th,Reminder,Study,Medium
ASAP: Summary of discussion with James about organic synthesis,Note,Work,High
Don't forget the group study session for Math at 8:00 PM on in 3 days,Reminder,Study,Medium
Schedule a quick alignment call with James about quantum physics,Todo,Work,Medium
Remember to prepare for the Physics exam on at 9 PM,Reminder,Study,High
Read pages 20 to 4 of the History textbook by next week,Todo,Study,Medium
Remind me to cancel the Spotify subscription before Friday,Reminder,Finance,High
Set a reminder to order refills of Lipitor by this weekend,Reminder,Health,High
Medical insurance policy number: 1244,Note,Health,Medium
Model name for tablet I want to buy: Version 50,Note,Shopping,Low
Notes from today's lecture on organic synthesis: inspired by a recent podcast,Note,Study,Low
Set a reminder for performance review with David on Friday,Reminder,Work,High
Solve the practice problems in chapter 5 of Computer Science,Task,Study,Medium
Remind me to buy a birthday card for Emily on this weekend,Reminder,Shopping,Medium
Don't forget the group study session for Computer Science at noon on this weekend,Reminder,Study,Medium
Read pages 10 to 1 of the Computer Science textbook this Friday at 3pm,Todo,Study,Medium
Remind me to buy a birthday card for David on at 9 PM,Reminder,Shopping,Medium
Set a reminder for the auto-debit of Netflix on tonight,Reminder,Finance,Medium
Schedule a quick alignment call with Isabella about linear algebra,Todo,Work,Medium
Buy eggs and eggs from the local supermarket next Monday at noon,Task,Shopping,Low
Solve the practice problems in chapter 12 of History,Task,Study,Medium
Formula list for Chemistry includes organic synthesis equations,Note,Study,Low
Remind me to ask James for Physics study guides,Reminder,Study,Low
Medical insurance policy number: 5045,Note,Health,Medium
Don't forget the tutorial session on organic synthesis at 8:00 PM,Reminder,Study,Medium
Summary of discussion with Michael about compiler design,Note,Work,Low
Research cryptography for the upcoming Literature project,Todo,Study,Medium
Buy yogurt and spinach from the local supermarket by next week,Task,Shopping,Low
Remind me to ask John for Calculus study guides,Reminder,Study,Low
Medical insurance policy number: 1253,Note,Health,Medium
Solve the practice problems in chapter 10 of Art History next Monday at noon,Task,Study,Medium
Remember to prepare for the Physics exam on tomorrow,Reminder,Study,High
Read pages 4 to 50 of the Biology textbook,Todo,Study,Medium
Medical insurance policy number: 2052,Note,Health,Medium
Savings plan: save $15 by the end of October,Note,Finance,Medium
Set a reminder for the auto-debit of Adobe Creative Cloud on Friday,Reminder,Finance,Medium
Useful study resource for Physics: http://arxiv.org/abs/1234,Note,Study,Low
Set a reminder for the design sync with Sophia on in 3 days,Reminder,Work,Medium
Set a reminder to order refills of Amoxicillin by tonight,Reminder,Health,High
Subscription cost tracker: Zoom costs $15 per month,Note,Finance,Low
Set a reminder for the auto-debit of Spotify on June 30th,Reminder,Finance,Medium
Gift ideas for Sarah: book about industrial revolution or a warm scarf,Note,Shopping,Low
Buy spinach and eggs from the local supermarket,Task,Shopping,Low
Don't forget the group study session for Computer Science at 2:30 PM on in 3 days,Reminder,Study,Medium
Read pages 5 to 4 of the History textbook,Todo,Study,Medium
Remind me to cancel the Adobe Creative Cloud subscription before next week,Reminder,Finance,High
Medical insurance policy number: 1011,Note,Health,Medium
Research quantum physics for the upcoming Math project,Todo,Study,Medium
Solve the practice problems in chapter 12 of Literature,Task,Study,Medium
Summary of discussion with Sarah about linear algebra,Note,Work,Low
Savings plan: save $100 by the end of April,Note,Finance,Medium
Don't forget the group study session for Physics at 10:30 AM on June 30th,Reminder,Study,Medium
Set a reminder for performance review with Alex on tonight (low priority though),Reminder,Work,Low
Medical insurance policy number: 515,Note,Health,Medium
"Shopping wishlist: external hard drive, external hard drive, and a new bag this Friday at 3pm",Note,Shopping,Low
Don't forget the group study session for Chemistry at 8:00 PM on at 9 PM,Reminder,Study,Medium
Buy cereal and bananas from the local supermarket,Task,Shopping,Low
Formula list for Calculus includes data structures equations,Note,Study,Low
Meeting minutes from legal sync: inspired by a recent podcast,Note,Work,Low
Remind me to return the Computer Science library book by in 3 days tomorrow morning,Reminder,Study,Medium
Set a reminder for performance review with James on July 5th,Reminder,Work,High
Read pages 10 to 10 of the Economics textbook,Todo,Study,Medium
Useful study resource for Literature: http://wikipedia.org/wiki/Literature,Note,Study,Low
Set a reminder for the auto-debit of Zoom on next week,Reminder,Finance,Medium
Remind me to sign up for the Physics workshop by at 9 PM,Reminder,Study,High
Don't forget the group study session for Art History at 5:00 PM on July 5th,Reminder,Study,Medium
Notes from today's lecture on genetics: will double check the figures,Note,Study,Low
Summary of discussion with Emily about industrial revolution,Note,Work,Low
Set a reminder for the auto-debit of Spotify on this weekend,Reminder,Finance,Medium
Don't forget the tutorial session on thermodynamics at midnight,Reminder,Study,Medium
Remind me to buy a birthday card for Emily on next week,Reminder,Shopping,Medium
Buy spinach and bread from the local supermarket,Task,Shopping,Low
Summary of discussion with Liam about data structures,Note,Work,Low
Savings plan: save $10 by the end of September,Note,Finance,Medium
Research photosynthesis for the upcoming Math project,Todo,Study,Medium
Project details: Falcon aims to rebuild the auth service,Note,Work,Low
Expense breakdown: spent $15 on groceries and $1000 on utilities,Note,Finance,Medium
Schedule a quick alignment call with Emma about neural networks,Todo,Work,Medium
Study Literature for 4 hours today tomorrow morning,Todo,Study,Medium
Summary of discussion with Jessica about photosynthesis,Note,Work,Low
Summarize the lecture notes on organic synthesis for Math,Todo,Study,Medium
Medical insurance policy number: 50510,Note,Health,Medium
Model name for speaker I want to buy: Version 20,Note,Shopping,Low
Schedule a quick alignment call with John about macroeconomics,Todo,Work,Medium
Summarize the lecture notes on macroeconomics for History,Todo,Study,Medium
Concept definition: cell division is defined as supply and demand curves,Note,Study,Low
Don't forget the group study session for Art History at 8:00 PM on tomorrow,Reminder,Study,Medium
Gift ideas for Jessica: book about modernism or a warm scarf,Note,Shopping,Low
Remind me to ask Chris for Math study guides,Reminder,Study,Low
Don't forget the tutorial session on organic synthesis at 2:30 PM,Reminder,Study,Medium
Don't forget the therapy appointment with Isabella at 8:00 PM,Reminder,Health,High
Research quantum physics for the upcoming Biology project,Todo,Study,Medium
Summary of discussion with John about ancient civilization,Note,Work,Low
Summary of discussion with Liam about cryptography,Note,Work,Low
Model name for mouse I want to buy: Version 20,Note,Shopping,Low
Medical insurance policy number: 10503,Note,Health,Medium
"Shopping wishlist: external hard drive, keyboard, and a new bag",Note,Shopping,Low
Summary of discussion with Michael about photosynthesis,Note,Work,Low
Remember to call James about the client contract on next Monday,Reminder,Work,Medium
Set a reminder for performance review with Isabella on tomorrow,Reminder,Work,High
Set a reminder for the auto-debit of Netflix on this weekend,Reminder,Finance,Medium
Medical insurance policy number: 50505,Note,Health,Medium
Concept definition: compiler design is defined as post-modern aesthetics,Note,Study,Low
Buy coffee and milk from the local supermarket,Task,Shopping,Low
Bucket list ideas: visit Paris and learn to play the saxophone next Monday at noon,Note,Personal,Low
Expense breakdown: spent $100 on groceries and $1000 on utilities next Monday at noon,Note,Finance,Medium
Schedule a quick alignment call with Sarah about quantum physics,Todo,Work,Medium
Remind me to take my Aspirin at 9:00 AM,Reminder,Health,High
Set a reminder for the auto-debit of Dropbox on next Monday,Reminder,Finance,Medium
Schedule a quick alignment call with Daniel about thermodynamics,Todo,Work,Medium
Remind me to sign up for the Calculus workshop by next Monday,Reminder,Study,High
Study Biology for 3 hours today,Todo,Study,Medium
Set a reminder for performance review with David on in 3 days,Reminder,Work,High
Schedule a quick alignment call with Chris about macroeconomics,Todo,Work,Medium
Set a reminder for performance review with Sarah on next week,Reminder,Work,High
"Shopping wishlist: keyboard, phone, and a new bag",Note,Shopping,Low
Don't forget the therapy appointment with Olivia at 8:00 PM,Reminder,Health,High
Summarize the lecture notes on compiler design for Economics,Todo,Study,Medium
Buy chicken and pasta from the local supermarket,Task,Shopping,Low
Don't forget the group study session for Computer Science at 8:00 PM on tomorrow,Reminder,Study,Medium
Buy milk and yogurt from the local supermarket,Task,Shopping,Low
Set a reminder to order refills of Lisinopril by Friday,Reminder,Health,High
"Shopping wishlist: charger, keyboard, and a new bag",Note,Shopping,Low
Notes from today's lecture on neural networks: needs review later,Note,Study,Low
Formula list for Economics includes linear algebra equations,Note,Study,Low
Read pages 5 to 12 of the Computer Science textbook,Todo,Study,Medium
"Shopping wishlist: speaker, smartwatch, and a new bag",Note,Shopping,Low
Summary of discussion with Chris about genetics,Note,Work,Low
Medical insurance policy number: 2125,Note,Health,Medium
Remind me of the sales project status meeting at 10:30 AM,Reminder,Work,Medium
Remind me to buy a birthday card for Olivia on this weekend,Reminder,Shopping,Medium
"Shopping wishlist: headphones, smartwatch, and a new bag next Monday at noon",Note,Shopping,Low
Don't forget the tutorial session on modernism at midnight next Monday at noon,Reminder,Study,Medium
Set a reminder for performance review with Michael on tomorrow,Reminder,Work,High
Remind me to return the History library book by next week,Reminder,Study,Medium
Summary of discussion with Emily about macroeconomics,Note,Work,Low
Subscription cost tracker: Gym Membership costs $1000 per month,Note,Finance,Low
Don't forget the group study session for Math at 8:00 PM on Friday,Reminder,Study,Medium
ASAP: Gift ideas for Isabella: book about linear algebra or a warm scarf,Note,Shopping,High
Buy avocado and eggs from the local supermarket,Task,Shopping,Low
Don't forget the group study session for Physics at 9:00 AM on next week,Reminder,Study,Medium
Read pages 3 to 2 of the Biology textbook,Todo,Study,Medium
Remind me to return the Math library book by July 5th,Reminder,Study,Medium
Schedule a quick alignment call with Alex about linear algebra next Monday at noon,Todo,Work,Medium
Don't forget the therapy appointment with Jessica at 8:00 PM,Reminder,Health,High
Read pages 10 to 50 of the Chemistry textbook,Todo,Study,Medium
Useful study resource for History: http://wikipedia.org/wiki/Economics,Note,Study,Low
Remind me to return the Math library book by next week,Reminder,Study,Medium
Remind me to ask Sophia for Literature study guides,Reminder,Study,Low
Summary of discussion with Emily about genetics,Note,Work,Low
Remind me to buy a birthday card for John on July 5th,Reminder,Shopping,Medium
Don't forget the group study session for History at 5:00 PM on in 3 days,Reminder,Study,Medium
Don't forget the group study session for History at 8:00 PM on next week,Reminder,Study,Medium
Buy apples and apples from the local supermarket,Task,Shopping,Low
Medical insurance policy number: 10410,Note,Health,Medium
Buy pasta and milk from the local supermarket,Task,Shopping,Low
Set a reminder for performance review with Liam on tonight,Reminder,Work,High
Medical insurance policy number: 10502,Note,Health,Medium
Set a reminder for performance review with Emma on next Monday,Reminder,Work,High
"Shopping wishlist: headphones, laptop, and a new bag",Note,Shopping,Low
Remind me to sign up for the Math workshop by tonight,Reminder,Study,High
Solve the practice problems in chapter 4 of Economics,Task,Study,Medium
Summarize the lecture notes on linear algebra for Computer Science tonight at 8 PM,Todo,Study,Medium
Research photosynthesis for the upcoming Economics project,Todo,Study,Medium
Research thermodynamics for the upcoming Computer Science project,Todo,Study,Medium
Set a reminder for performance review with Emma on Friday,Reminder,Work,High
Read pages 10 to 50 of the Physics textbook,Todo,Study,Medium
Schedule a quick alignment call with Sophia about photosynthesis,Todo,Work,Medium
Useful study resource for Literature: http://wikipedia.org/wiki/Computer Science,Note,Study,Low
Don't forget the tutorial session on modernism at 8:00 PM,Reminder,Study,Medium
Remind me to return the Math library book by in 3 days,Reminder,Study,Medium
Remind me to buy a birthday card for David on this weekend,Reminder,Shopping,Medium
Medical insurance policy number: 1520,Note,Health,Medium
Study History for 50 hours today,Todo,Study,Medium
Schedule a quick alignment call with Chris about photosynthesis,Todo,Work,Medium
Meeting minutes from product sync: inspired by a recent podcast,Note,Work,Low
Formula list for Literature includes cell division equations,Note,Study,Low
Don't forget the group study session for Economics at 2:30 PM on tomorrow,Reminder,Study,Medium
Solve the practice problems in chapter 5 of History,Task,Study,Medium
Savings plan: save $100 by the end of September,Note,Finance,Medium
Read pages 20 to 12 of the Literature textbook,Todo,Study,Medium
Don't forget the group study session for Economics at 5:00 PM on next week,Reminder,Study,Medium
Summarize the lecture notes on compiler design for Biology,Todo,Study,Medium
Don't forget the group study session for Computer Science at midnight on June 30th,Reminder,Study,Medium
Buy eggs and tomatoes from the local supermarket this Friday at 3pm,Task,Shopping,Low
Remind me to ask James for History study guides,Reminder,Study,Low
Remember to prepare for the Calculus exam on June 30th,Reminder,Study,High
Set a reminder for performance review with Sophia on this weekend,Reminder,Work,High
Model name for speaker I want to buy: Version 1,Note,Shopping,Low
Bucket list ideas: visit Yosemite and learn to play the flute,Note,Personal,Low
Summary of discussion with Olivia about modernism,Note,Work,Low
Summary of discussion with John about macroeconomics,Note,Work,Low
Don't forget the tutorial session on organic synthesis at noon,Reminder,Study,Medium
Formula list for Art History includes neural networks equations,Note,Study,Low
"Shopping wishlist: speaker, charger, and a new bag",Note,Shopping,Low
Read pages 12 to 1 of the Computer Science textbook,Todo,Study,Medium
Don't forget the group study session for Economics at 2:30 PM on Friday,Reminder,Study,Medium
Medical insurance policy number: 321,Note,Health,Medium
Schedule a quick alignment call with Chris about industrial revolution,Todo,Work,Medium
